Localidad,Cultivar,Repetición,α Tocopherol,γ Tocopherol,δ Tocopherol,α+γ+δ Tocopherol,Palmitic Acid,Palmitoleic Acid,Stearic Acid,Oleic Acid,Linoleic Acid,Linolenic Acid,Arachidic Acid,Ecosenoic Acid,OSI,Oil content,Código,IV,Fecha de siembra S,inicio de floración IF,Madurez fisiologica MF,Dur S-IF,Dur S-MF,Dur IF-MF,Tmx IF-MF,Tmed IF-MF,T mn IF-MF,pp IF-MF,etp IF- MF
Loc_3,cv_13,1,224.86,656.41,8.53,889.8,3.96,0.04,1.59,67.46,16.81,8.57,0.37,1.2,8.92,48.66,P1122,115.62,2012-05-08,2012-08-16,2012-10-15,101,158,61,21.6,16.1,11.1,9.4,204.73393907146377
Loc_3,cv_13,2,218.72,657.18,9.59,885.49,3.86,0.18,1.84,65.92,17.48,8.87,0.48,1.37,9.22,48.71,P1123,116.55,2012-05-08,2012-08-16,2012-10-15,101,158,61,21.6,16.1,11.1,9.4,204.73393907146377
Loc_4,cv_1,1,261.73,691.15,10.79,963.67,4.33,0.23,3.15,66.91,16.49,7.3,0.75,0.85,14.49,48.3,P1152,110.96,2012-05-16,2012-09-24,2012-11-26,132,195,64,21.2,14.9,8.5,0.0,216.10000000000002
Loc_4,cv_1,2,226.85,740.47,17.87,985.19,3.93,0.19,2.21,66.43,17.03,8.57,0.57,1.07,11.170000000000002,50.08,P1153,115.13,2012-05-16,2012-09-24,2012-11-26,132,195,64,21.2,14.9,8.5,0.0,216.10000000000002
Loc_4,cv_2,1,227.94,697.57,6.69,932.2,4.15,0.18,1.97,64.52,18.81,8.8,0.45,1.08,8.88,47.16,P1170,117.26,2012-05-16,2012-09-26,2012-11-25,134,194,61,21.2,14.9,8.5,0.0,206.89999999999998
Loc_4,cv_2,2,274.03,777.77,15.63,1067.43,3.81,0.18,1.92,65.09,18.41,8.77,0.54,1.27,11.619999999999997,47.67,P1171,117.12,2012-05-16,2012-09-26,2012-11-25,134,194,61,21.2,14.9,8.5,0.0,206.89999999999998
Loc_4,cv_3,1,349.7,782.99,11.32,1144.01,4.0,0.18,2.01,64.34,19.52,7.87,0.5,1.57,9.48,45.34,P1168,116.25,2012-05-16,2012-10-02,2012-12-01,140,201,61,24.4,17.8,11.2,12.0,222.5
Loc_4,cv_3,2,398.04,694.14,12.28,1104.46,4.06,0.18,1.99,64.02,20.09,8.0,0.46,1.19,10.34,44.39,P1166,117.03,2012-05-16,2012-10-02,2012-12-01,140,201,61,24.4,17.8,11.2,12.0,222.5
Loc_4,cv_4,1,311.67,774.97,7.49,1094.13,4.28,0.18,2.25,63.62,19.83,8.46,0.22,1.17,13.9,47.31,P1161,117.46,2012-05-16,2012-09-27,2012-11-26,135,195,61,22.5,16.2,9.8,0.0,209.60000000000002
Loc_4,cv_4,2,182.47,725.16,3.84,911.47,4.31,0.23,2.47,65.66,17.58,8.57,0.07,1.12,13.029999999999998,51.12,P1162,115.52,2012-05-16,2012-09-27,2012-11-26,135,195,61,22.5,16.2,9.8,0.0,209.60000000000002
